,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount
400,000300.SH,20100531,2695.715,2755.284,2787.512,2673.342,2850.302,-77.038,-2.7028,196313988.0,233659472.996
401,000300.SH,20100524,2773.264,2851.256,2893.687,2771.586,2768.791,104.678,3.7806,246223943.0,302755673.839
402,000300.SH,20100517,2873.469,2711.407,2886.368,2647.597,2868.023,-153.308,-5.3454,271238416.0,323544253.692
403,000300.SH,20100510,2714.715,2916.335,2922.125,2712.444,2836.789,21.444,0.7559,261177105.0,323645996.127
404,000300.SH,20100426,2858.233,3163.101,3163.101,2798.523,3190.003,-18.006,-0.5645,485048868.0,656937934.7060001
405,000300.SH,20100419,3171.997,3176.414,3237.537,3130.96,3356.332,-179.909,-5.3603,314294756.0,447424520.83599997
406,000300.SH,20100412,3176.423,3350.726,3412.937,3175.441,3379.17,-27.692,-0.8195,336822179.0,482019712.28000003
407,000300.SH,20100329,3351.478,3361.353,3436.29,3330.3,3275.002,83.538,2.5508,553641365.0,783828290.012
408,000300.SH,20100322,3358.54,3305.554,3363.605,3220.594,3293.871,8.757,0.2659,268241662.0,351000408.92
409,000300.SH,20100315,3302.628,3183.775,3313.922,3169.098,3233.126,-49.943,-1.5447,219098376.0,294374159.56200004
410,000300.SH,20100308,3183.183,3285.62,3322.506,3171.803,3259.764,26.414,0.8103,225909967.0,299295494.799
411,000300.SH,20100301,3286.178,3327.103,3345.909,3239.677,3281.666,42.757,1.3029,274173930.0,358446772.57199997
412,000300.SH,20100222,3324.423,3225.393,3330.378,3152.934,3251.278,-17.933,-0.5516,272930760.0,367663331.066
413,000300.SH,20100208,3233.345,3147.761,3261.949,3144.478,3153.087,-2.099,-0.0666,178306114.0,237059072.217
414,000300.SH,20100201,3150.988,3170.778,3242.519,3094.568,3204.155,-51.448,-1.6057,270363449.0,352916776.93499994
415,000300.SH,20100125,3152.707,3328.113,3341.198,3116.439,3366.197,-38.183,-1.1343,268698334.0,360208717.22999996
416,000300.SH,20100118,3328.014,3506.806,3528.39,3293.194,3482.738,17.946,0.5153,383756021.0,532340739.809
417,000300.SH,20100111,3500.684,3477.842,3535.407,3411.812,3480.13,1.922,0.0552,444951840.0,633959105.3429999
